"filename", "language", "TypeScript", "JSON", "YAML", "Handlebars", "Markdown", "SCSS", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Heading\_heading.util.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Navbars\Navbar.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 5, 149
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Navbars\_navbar.util.scss", "SCSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 10, 54
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\PriceCard\PriceCard.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 8, 47
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\PriceCard\_priceCard.util.scss", "SCSS", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\ProfileCard\ProfileCard.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\ProfileCard\_profileCard.util.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\ScriptCard\_scriptcard.util.scss", "SCSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\ScriptCard\scriptcard.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 60
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\ScriptsCarousel\ScriptsCarousel.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 1, 7, 127
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\ScriptsCarousel\_scriptsCarousel.util.scss", "SCSS", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 7, 11, 64
